Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
G2     	229.65000	2.0666700000000002	3900	-0.1	-1.38	0.0	0.0	-0.48	0.0	0.0
I-14   	229.66925	2.10672	4250	0.75	-1.36	0.0	0.0	-0.38	0.0	0.0
I-2    	229.64171	2.12106	4500	1.1	-1.29	0.0	0.0	-0.38	0.0	0.0
I-20   	229.67250	2.10014	4050	0.0	-1.6	0.0	0.0	-0.18	0.0	0.0
I-50   	229.65758	2.11733	4525	1.15	-1.28	0.0	0.0	-0.48	0.0	0.0
I-55   	229.65158	2.14744	4700	0.85	-1.56	0.0	0.0	-0.38	0.0	0.0
I-58   	229.66479	2.12328	4350	0.8	-1.34	0.0	0.0	-0.35	0.0	0.0
I-61   	229.66883	2.12603	4400	1.0	-1.36	0.0	0.0	-0.35	0.0	0.0
I-68   	229.67912	2.1253900000000003	4066	0.63	-1.45	0.0	0.0	-0.58	0.0	0.0
I-71   	229.68967	2.12228	4360	1.12	-1.38	0.0	0.0	-0.37	0.0	0.0
II-50  	229.58637	2.1115	4525	1.15	-1.31	0.0	0.0	-0.38	0.0	0.0
II-59  	229.62708	2.1168099999999996	4463	1.15	-1.32	0.0	0.0	-0.56	0.0	0.0
II-74  	229.62233	2.13056	4525	1.3	-1.08	0.0	0.0	-0.58	0.0	0.0
II-85  	229.62246	2.141	4009	0.54	-1.37	0.0	0.0	-0.31	0.0	0.0
III-122	229.60417	2.05275	4001	0.44	-1.23	0.0	0.0	-0.54	0.0	0.0
III-18 	229.58396	2.05894	4475	0.55	-1.42	0.0	0.0	-0.45	0.0	0.0
III-3  	229.57779	2.07578	4076	0.63	-1.41	0.0	0.0	-0.41	0.0	0.0
III-36 	229.59517	2.05269	4227	0.91	-1.28	0.0	0.0	-0.47	0.0	0.0
III-52 	229.60121	2.01919	4625	1.5	-1.39	0.0	0.0	-0.36	0.0	0.0
III-53 	229.59925	2.01858	4700	1.05	-1.64	0.0	0.0	-0.33	0.0	0.0
III-59 	229.60987	2.04403	4575	1.2	-1.24	0.0	0.0	-0.45	0.0	0.0
III-78 	229.63429	2.0261400000000003	4154	0.78	-1.38	0.0	0.0	-0.45	0.0	0.0
IV-19  	229.64604	2.01858	4125	0.5	-1.32	0.0	0.0	-0.43	0.0	0.0
IV-26  	229.66579	2.0195	4650	1.05	-1.43	0.0	0.0	-0.38	0.0	0.0
IV-30  	229.65371	2.03492	4625	1.0	-1.47	0.0	0.0	-0.43	0.0	0.0
IV-34  	229.67167	2.0308599999999997	4275	0.65	-1.33	0.0	0.0	-0.4	0.0	0.0
IV-36  	229.67100	2.04008	4575	1.5	-1.28	0.0	0.0	-0.38	0.0	0.0
IV-4   	229.64508	2.0396400000000003	4625	1.55	-1.4	0.0	0.0	-0.38	0.0	0.0
IV-47  	229.67354	2.06481	4110	0.5	-1.3	0.0	0.0	-0.53	0.0	0.0
IV-59  	229.68917	2.07508	4229	0.79	-1.44	0.0	0.0	-0.45	0.0	0.0
IV-81  	229.68729	2.03431	3945	0.0	-1.37	0.0	0.0	-0.38	0.0	0.0
